Date,Open,High,Low,Volume,Close,Open,High,Low,Volume,Close
02/09/2023,"25,800.91","25,970.29","25,753.09","25,868.80","10,100,387,473",0.229819228,0.230484237,0.234449137,2.87E-08,0.067688371
03/09/2023,"25,869.47","26,087.15","25,817.03","25,969.57","8,962,524,523",0.230434136,0.231529885,0.235035132,2.90E-08,0.060062912
04/09/2023,"25,968.17","26,081.53","25,657.03","25,812.42","10,680,635,106",0.231319367,0.231479598,0.233568769,2.86E-08,0.071576936
05/09/2023,"25,814.96","25,858.38","25,589.99","25,779.98","11,094,740,040",0.229945241,0.229482881,0.232954364,2.85E-08,0.074352086
06/09/2023,"25,783.93","25,953.02","25,404.36","25,753.24","12,752,705,327",0.229666936,0.230329708,0.231253109,2.84E-08,0.085463043
07/09/2023,"25,748.31","26,409.30","25,608.20","26,240.20","11,088,307,100",0.229347464,0.234412442,0.233121254,2.98E-08,0.074308975
08/09/2023,"26,245.21","26,414.01","25,677.48","25,905.65","10,817,356,400",0.233804111,0.234454586,0.233756189,2.88E-08,0.072493182
09/09/2023,"25,905.43","25,921.98","25,810.49","25,895.68","5,481,314,132",0.230756658,0.230051966,0.234975194,2.88E-08,0.036733365
10/09/2023,"25,895.21","25,978.13","25,640.26","25,832.23","7,899,553,047",0.230664996,0.230554389,0.233415076,2.86E-08,0.052939343
11/09/2023,"25,831.71","25,883.95","24,930.30","25,162.65","14,600,006,467",0.230095471,0.229711678,0.226908461,2.67E-08,0.097842846
12/09/2023,"25,160.66","26,451.94","25,133.08","25,833.34","18,657,279,324",0.22407689,0.234793979,0.228766891,2.86E-08,0.125032911
13/09/2023,"25,837.55","26,376.11","25,781.12","26,228.32","13,072,077,070",0.230147849,0.234115462,0.234706025,2.97E-08,0.087603333
14/09/2023,"26,228.28","26,774.62","26,171.45","26,539.67","13,811,359,124",0.233652267,0.237681277,0.238283307,3.06E-08,0.092557677
15/09/2023,"26,533.82","26,840.50","26,240.70","26,608.69","11,479,735,788",0.236392625,0.238270763,0.238917967,3.08E-08,0.076932159
16/09/2023,"26,606.20","26,754.77","26,473.89","26,568.28","7,402,031,417",0.237041794,0.237503662,0.241055098,3.07E-08,0.049605171
17/09/2023,"26,567.93","26,618.00","26,445.07","26,534.19","6,774,210,670",0.236698555,0.236279862,0.24079097,3.06E-08,0.045397791
18/09/2023,"26,532.99","27,414.73","26,415.52","26,754.28","15,615,339,655",0.236385181,0.243408899,0.240520151,3.12E-08,0.104647164
19/09/2023,"26,760.85","27,488.76","26,681.61","27,211.12","13,807,690,550",0.238428835,0.244071309,0.242958803,3.25E-08,0.092533092
20/09/2023,"27,210.23","27,379.51","26,864.08","27,132.01","13,281,116,604",0.24245928,0.243093755,0.244631097,3.23E-08,0.089004224
21/09/2023,"27,129.84","27,152.94","26,389.30","26,567.63","13,371,443,708",0.24173827,0.241066436,0.240279851,3.07E-08,0.089609557
22/09/2023,"26,564.06","26,726.08","26,495.53","26,579.57","10,578,746,709",0.236663845,0.237246948,0.241253424,3.07E-08,0.070894125
23/09/2023,"26,578.56","26,634.19","26,520.52","26,579.39","7,404,700,301",0.236793894,0.236424728,0.241482451,3.07E-08,0.049623056
24/09/2023,"26,579.37","26,716.06","26,221.05","26,256.83","8,192,867,686",0.236801159,0.23715729,0.238737879,2.98E-08,0.054905009
25/09/2023,"26,253.78","26,421.51","26,011.47","26,298.48","11,997,833,257",0.233880974,0.234521695,0.236817128,2.99E-08,0.080404221
26/09/2023,"26,294.76","26,389.88","26,090.71","26,217.25","9,985,498,161",0.23424852,0.234238674,0.237543344,2.97E-08,0.066918433
27/09/2023,"26,209.50","26,817.84","26,111.46","26,352.72","11,718,380,997",0.233483832,0.238068004,0.237733513,3.01E-08,0.078531454
28/09/2023,"26,355.81","27,259.50","26,327.32","27,021.55","14,079,002,707",0.234796071,0.242019921,0.239711819,3.20E-08,0.094351307
29/09/2023,"27,024.84","27,225.94","26,721.76","26,911.72","10,396,435,377",0.240796535,0.24171963,0.243326768,3.17E-08,0.069672354
30/09/2023,"26,911.69","27,091.79","26,888.97","26,967.92","5,331,172,801",0.239781704,0.240519273,0.244859208,3.19E-08,0.035727183
